learning_rate,subsample,colsample_bytree,max_depth,min_child_weight,gamma,reg_lambda,fitness
0.03,0.7,1.0,9,1.0344827586206897,4.655172413793104,2.896551724137931,0.49931672394494586
0.046206896551724136,0.9,1.0,9,2.1724137931034484,4.137931034482759,2.689655172413793,0.5012933037084633
0.06241379310344827,1.0,1.0,9,0.10344827586206896,3.620689655172414,2.4827586206896552,0.4996397129353592
0.07862068965517241,0.7,1.0,6,1.2413793103448276,3.1034482758620694,2.2758620689655173,0.5034082699670948
0.09482758620689655,0.9,1.0,6,2.3793103448275863,2.586206896551724,2.0689655172413794,0.5043734816017349
0.11103448275862068,1.0,0.9,6,0.3103448275862069,2.0689655172413794,1.8620689655172413,0.5042803060531323
0.12724137931034482,0.7,0.9,3,1.4482758620689655,1.5517241379310347,1.6551724137931034,0.49856003821936773
0.14344827586206896,0.7,0.9,3,2.586206896551724,1.0344827586206897,1.4482758620689655,0.5019823194530574
0.1596551724137931,0.9,0.9,3,0.5172413793103449,0.5172413793103449,1.2413793103448276,0.49952816345883044
0.17586206896551723,1.0,0.9,3,1.6551724137931034,0.0,1.0344827586206897,0.503991585647605
0.19206896551724137,0.7,0.7,9,2.793103448275862,4.827586206896552,0.8275862068965517,0.5018054850704916
0.2082758620689655,0.9,0.7,9,0.7241379310344828,4.310344827586207,0.6206896551724138,0.5002249134472193
0.22448275862068964,1.0,0.7,9,1.8620689655172413,3.793103448275862,0.41379310344827586,0.5009896618374672
0.24068965517241378,0.7,0.7,6,3.0,3.2758620689655173,0.20689655172413793,0.49400193721488306
0.25689655172413794,0.9,0.7,6,0.9310344827586207,2.7586206896551726,0.0,0.5021754751365345
0.2731034482758621,0.9,1.0,6,2.0689655172413794,2.241379310344828,3.0,0.5018341265736772
0.2893103448275862,1.0,1.0,6,0.0,1.7241379310344829,2.793103448275862,0.5022526876938589
0.30551724137931036,0.7,1.0,3,1.1379310344827587,1.206896551724138,2.586206896551724,0.49768110214613454
0.3217241379310345,0.9,1.0,3,2.2758620689655173,0.6896551724137931,2.3793103448275863,0.4975677258774914
0.33793103448275863,1.0,1.0,3,0.20689655172413793,0.1724137931034483,2.1724137931034484,0.4986870223831555
0.35413793103448277,0.7,0.9,9,1.3448275862068966,5.0,1.9655172413793103,0.49539615987789376
0.3703448275862069,0.9,0.9,9,2.4827586206896552,4.482758620689656,1.7586206896551724,0.49348184297871756
0.38655172413793104,1.0,0.9,9,0.41379310344827586,3.9655172413793105,1.5517241379310345,0.49637802499643097
0.4027586206896552,1.0,0.9,9,1.5517241379310345,3.4482758620689657,1.3448275862068966,0.49520210914566576
0.4189655172413793,0.7,0.9,6,2.689655172413793,2.931034482758621,1.1379310344827587,0.4951375062528259
0.43517241379310345,0.9,0.7,6,0.6206896551724138,2.413793103448276,0.9310344827586207,0.49963547469908043
0.4513793103448276,1.0,0.7,6,1.7586206896551724,1.896551724137931,0.7241379310344828,0.5014231246236585
0.4675862068965517,0.7,0.7,3,2.896551724137931,1.3793103448275863,0.5172413793103449,0.4975809231240251
0.48379310344827586,0.9,0.7,3,0.8275862068965517,0.8620689655172414,0.3103448275862069,0.4964351501937039
0.5,1.0,0.7,3,1.9655172413793103,0.3448275862068966,0.10344827586206896,0.4957068639268476
